id,name,address,lat,long,star_number,street_id,district_id,province_id
2636,Khách sạn Cyclist (Hotel Cyclist),"27/8 Hanoi Street, Thành phố Huế, Huế, Việt Nam, 53000",16.463686600000003,107.5936174,1,27668.0,275.0,1
2649,Thái Bình 2 Hotel,"2 Lương Thế Vinh, Thành Phố Huế, Thừa Thiên - Huế",16.46565056,107.590744,2,27717.0,275.0,1
2665,Khách sạn New Valentine (New Valentine Hotel),"7/64 Nguyễn Công Trứ, Thành Phố Huế, Thừa Thiên - Huế",16.47187865,107.5966963,2,27718.0,275.0,1
2677,Cozy Hue Hotel,"28/42 Nguyễn Công Trứ, Thành Phố Huế, Thừa Thiên - Huế",16.47187865,107.5966963,2,27718.0,275.0,1
2691,Khách sạn Alba (Alba Hotel),"12 Nguyễn Văn Cừ, Thành Phố Huế, Thừa Thiên - Huế",16.46179021,107.5903746,3,27743.0,275.0,1
2772,Hoang Tuan Hotel,"Lô B16-17, Đường Phạm Văn Đồng, Tp. Huế, Thành phố Huế, Huế, Việt Nam",16.47357982,107.601707,2,27760.0,275.0,1
2918,Khách sạn Nhật Lệ (Nhat Le Hotel),"6A/34 Nguyen Tri Phuong Street, Thành phố Huế, Huế, Việt Nam",16.46493104,107.5913696,1,27742.0,275.0,1
2984,Khách Sạn Villa Huế (Villa Hue Hotel),"4 Trần Quang Khải, Thành Phố Huế, Thừa Thiên - Huế",16.46744074,107.595381,4,561.0,275.0,1
3062,Khách sạn Hương Cau (Areca Hotel),"76/1 Hùng Vương, Thành Phố Huế, Thừa Thiên - Huế",16.46072706,107.5974737,2,519.0,275.0,1
3160,Khách Sạn Minh Hiếu,"3 Chu Văn An, Thành phố Huế, Huế, Việt Nam",16.46897507,107.5958252,1,27669.0,275.0,1
3191,Khách sạn Kinh Đô (Kinh Do Hotel Hue),"1 Nguyễn Thái Học, Thành phố Huế, Huế, Việt Nam",16.46823502,107.5956116,2,27738.0,275.0,1
3266,Canary Boutique Hotel,"43/8 Nguyễn Công Trứ, Thành Phố Huế, Thừa Thiên - Huế",16.47171246,107.5969095,2,27718.0,275.0,1
3295,Liberty Hotel Hue,"10 Kiệt 25 Hai Bà Trưng, Thành phố Huế, Huế, Việt Nam, 530000",16.46046388,107.5897014,1,27671.0,275.0,1
3315,Hue Royal Hotel,"36 Võ Thị Sáu, Thành Phố Huế, Thừa Thiên - Huế",16.47100277,107.5962173,3,27787.0,275.0,1
3317,Khách sạn Phượng Hoàng (Phuong Hoang Hotel),"66/3 Lê Lợi, Thành Phố Huế, Thừa Thiên - Huế",16.469644,107.5932951,2,27705.0,275.0,1
3361,Huế Holiday Diamond Hotel,"Số 6 Ngõ 14, Nguyễn Công Trứ, Thành Phố Huế, Thừa Thiên - Huế",16.47122856,107.5955229,2,27718.0,275.0,1
3368,Sunny B Hotel,"4/34 Nguyễn Tri Phương, Thành Phố Huế, Thừa Thiên - Huế",16.46473157,107.5926733,2,27742.0,275.0,1
3477,Khu nghỉ dưỡng Lăng Cô Beach Huế (Lang Co Beach Resort),"463 Lạc Long Quân, Lăng Cô, Huyện Phú Lộc, Thừa Thiên - Huế",16.24778265,108.0757928,3,27843.0,441.0,1
3544,Minh Tâm Guest House (Minh Tam Guest House),"7/4 Chu Van An, Thành phố Huế, Huế, Việt Nam, 530000",16.47051625,107.59503,1,27649.0,275.0,1
3565,Trang Chau Guesthouse,16D Hai Ba Trung,16.4616449,107.589114,0,27671.0,275.0,1
3604,2you Hotel,"59 Bến Nghé, Thành phố Huế, Huế, Việt Nam",16.46540451,107.5946274,1,27643.0,275.0,1
3617,Khách sạn Huế Heritage (Hue Heritage Hotel),"09 Lý Thường Kiệt, Thành Phố Huế, Thừa Thiên - Huế",16.46261458,107.5912929,3,27708.0,275.0,1
4217,Khách sạn Đồng Lợi (Dong Loi Hotel),"19 Phạm Ngũ Lão, Thành Phố Huế, Thừa Thiên - Huế",16.46896078,107.59490259999998,1,27748.0,275.0,1
4273,Khách sạn Sunny C (Sunny C Hotel),"7/25 Hai Bà Trưng, Thành Phố Huế, Thừa Thiên - Huế",16.46079265,107.59013590000002,2,27671.0,275.0,1
4282,Sunny A Hotel,"17/34 Nguyễn Tri Phương, Thành Phố Huế, Thừa Thiên - Huế",16.46442544,107.5929402,2,27742.0,275.0,1
4352,Khách sạn Huế Thương (Hue Thuong Hotel),"11 Chu Văn An, Thành Phố Huế, Thừa Thiên - Huế",16.47018226,107.5951743,1,27649.0,275.0,1
4455,Khách sạn Star Bình Dương (Star Binh Duong Hotel),"41/1 Ngô Quyền, Thành Phố Huế, Thừa Thiên - Huế",16.46326575,107.5900132,2,27725.0,275.0,1
4501,NHÀ DÂN KHE SANH (KHE SANH HOMESTAY),"53 Nguyễn Công Trứ, TP Huế, Việt Nam, Thành phố Huế, Huế, Việt Nam, 53000",16.47114285,107.5977193,1,27718.0,275.0,1
4516,Khách sạn Ngọc Bình (Ngoc Binh Hotel),"6A/34 Nguyễn Tri Phương, Thành phố Huế, Huế, Việt Nam",16.46483994,107.5925369,1,27742.0,275.0,1
4539,Binh Duong 2 Hotel,"08 Ngô Gia Tự, Thành Phố Huế, Thừa Thiên - Huế",16.46114079,107.5901262,2,27720.0,275.0,1
4567,Binh An Guesthouse,"18/16 Hai Bà Trưng, Thành phố Huế, Huế, Việt Nam",16.46124621,107.58882959999998,1,27725.0,275.0,1
4578,Nhat Thanh Guesthouse,"17 Chu Văn An, Thành phố Huế, Huế, Việt Nam",16.470153699999997,107.595216,1,27649.0,275.0,1
4718,Home Hotel,"8 Nguyễn Công Trứ, Thành Phố Huế, Thừa Thiên - Huế",16.47210149,107.59511609999998,2,27718.0,275.0,1
4750,Nova Hotel,"19 Đội Cung, Thành Phố Huế, Thừa Thiên - Huế",16.46823748,107.5941834,1,27666.0,275.0,1
4825,Dang Tuan Hotel,"92 Lê Lợi, Sông Hương, Huế, Việt Nam",16.47076589,107.5942128,1,27705.0,275.0,1
4966,Hong Thien Ruby Hotel,"Số 35, Ngõ 12 Chu Văn An, Thành Phố Huế, Thừa Thiên - Huế",16.47018461,107.5953555,2,27649.0,275.0,1
5077,Oasis Bar and Hostel,"42/4 Le Loi, Thành phố Huế, Huế, Việt Nam",16.46963419,107.5936872,1,27705.0,275.0,1
5268,Khách Sạn Cố Đô (Citadel Hotel),"32 Trường Chinh, Thành Phố Huế, Thừa Thiên - Huế",16.4619899,107.6017456,1,27806.0,275.0,1
5873,Trang Tien Hotel,"62 Le Loi, Thành phố Huế, Huế, Việt Nam",16.47023857,107.5941351,1,27705.0,275.0,1
