id,name,district_id,province_id
28094,Quốc lộ 1,433,23
28095,Tượng Đài Chiến Thắng,433,23
28096,Khu du lịch Suối Nước,433,23
28097,Đinh Bộ Lĩnh,318,23
28098,Trường Phật Học,433,23
28099,Bệnh Viện Đa Khoa,433,23
28100,Lê Lợi,318,23
28101,Lê Minh Công,318,23
28102,Trường Cao Đẳng Y Tế,433,23
28103,Mũi Kê Gà,433,23
28104,Co.op Mart Phan Thiết,433,23
28105,Võ Thị Sáu,433,23
28106,Cầu Dục Thanh,433,23
28107,Sea Links City,433,23
28108,23 Tháng 4,318,23
28109,Lê Thánh Tôn,318,23
28110,Ngô Đức Tốn,318,23
28111,Cách Mạng Tháng 8,318,23
28112,Nguyễn Huệ,318,23
28113,Chợ Phan Thiết,433,23
28114,Nguyễn Ngọc Kỳ,318,23
28115,Phạm Ngũ Lão,318,23
28116,Nguyễn Công Trứ,318,23
28117,Bến xe khách La Gi,318,23
28118,Chợ Văn Thánh,433,23
28119,Thống Nhất,318,23
28120,Ngô Quyền,318,23
28121,Nguyễn Thị Minh Khai,639,23
28122,Nguyễn Trường Tộ,318,23
28123,Quỳnh Lưu,318,23
28124,Cầu Tân Lý,318,23
28125,Hòn Câu,639,23
28126,Quang Trung,639,23
28127,Thống Nhất,639,23
28128,UBND Thị xã La Gi,318,23
28129,Lý Thường Kiệt,318,23
28130,Quốc Lộ 55,318,23
28131,Hàm Thuận Nam,245,23
28132,Quốc lộ 1,639,23
28133,Quốc Lộ 1A,639,23
28134,Quốc Lộ 1A,245,23
28135,DT 719,245,23
28136,Nguyễn Tất Thành,34,23
28137,Trần Hưng Đạo,318,23
28138,Phan Đình Phùng,318,23
28139,Võ Thị Sáu,639,23
28140,Quốc Lộ 1A,34,23
28141,Chùa Quảng Hương,318,23
28142,Tỉnh Lộ 716,34,23
28143,Hòn Bà,245,23
28144,Nguyễn Đình Chiểu,245,23
28145,Quốc lộ 1,243,23
28146,Bình Thạnh,639,23
28147,Lý Thái Tổ,318,23
28148,Gò Đình,245,23
28149,Cứu Quốc,37,9
28150,Quốc lộ 1,244,23
28151,Hòn Bà,243,23
28152,Tiến Thành,433,23
28153,Nguyễn Thị Minh Khai,37,9
28154,Thuận Quý,245,23
28155,Tân Phúc,243,23
28156,Tân Thành,245,23
28157,Nguyễn Văn Linh,245,23
28158,Tỉnh Lộ 719,245,23
28159,Kon Tum,37,9
28160,Trần Hưng Đạo,37,9
28161,Thành Công,37,9
28162,Hùng Vương,37,9
28163,Tỉnh lộ 254,13,9
28164,Thanh Niên,37,9
28165,Quốc Lộ 55,243,23
28166,Rẽ Khôn Khuổi Thiêu,25,9
28167,Phùng Chí Kiên,37,9
28168,Châu Phong,665,49
28169,Trường Chinh,37,9
28170,Đức Xuân,37,9
28171,UBND Thị Xã Bắc Kạn,37,9
28172,Đại Nải,665,49
28173,Bảo Hoa,665,49
28174,Đội Kỳ,37,9
28175,Hòa Bình,665,49
28176,Chung Cư,665,49
28177,Hà Liễu,665,49
28178,Xã Huyền Tụng,37,9
28179,Hồ Ba Bể,13,9
28180,Hồng Hà,665,49
28181,Hùng Vương,665,49
28182,Gia Cẩm,665,49
28184,Nguyệt Cư,665,49
28185,Mai Sơn,665,49
28187,Lạc Long Quân,665,49
28188,Quang Trung,665,49
28189,Hòa Phong,665,49
